start Mission3
mission_start_time 1462271327
execution_start_time 1462271333
PP_Open
PP_GetUnitAt 0 0
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
PP_GetNumUnits 2
